title,channel_id,subscribers,views,videos,country,custom_url
КОРОЧЕ Warhammer 40k,UCrgNJLS0JzgFr4w5x1qMvxA,5140,694210,35,RU,@koroche_wh40k
Kill Team France & Co,UCQaruXSjM6PFWdAteZ8RoZQ,4740,459161,227,FR,@killteamfranceco
Squad-Games,UCYApU9TNf0Fhw8zlte70XMA,4670,568287,143,US,@squad-games-entertainment
Age of Sickmare,UCZwe0FUicgP1KPDs2DavPJA,3360,163386,25,DE,@ageofsickmare
UKTCTV,UCzCcZ1Psa5Y_MtjWbSyc5Kg,3340,254134,77,GB,@uktctv
Laying Down The Lore: Warhammer Old World,UCwTWa0EEHfpLEFzBbpy5-IQ,3090,192376,200,GB,@layingdownthelore
Battle Barn,UC5zk91B6tFL8pqeTPj_9u_A,2230,201354,149,GB,@battle_barn
Kill Team Six,UCVp7N7y0qr3RFYjD6SdVIMA,2230,198528,113,GB,@killteamsix6
Recon By Fire,UCiifN5xJvhnB7qF6nRFFX4w,2170,219059,158,,@reconbyfire73
La Barricada Killteam,UCGmd32hO9X3D888CedGUF4w,1980,165726,194,,@labarricadakillteam
Laying Down The Lore: 40K,UCxbkUWp_I-kbQOVZ03hZNpQ,1880,139067,173,GB,@layingdownthelore40k
The Dark Tower 40k,UCD7hO-rKU_8_VP7qnezPkmg,1790,537673,60,,@tdt40k
Grimdark Live! a Warhammer Age of Sigmar  Show,UCCUYTZH0pnFnJUkEzpYivjA,1570,13643,61,US,@grimdarklive
Ten Point Turns,UCh-tZt-rENGRYKRoPWiD8-w,1540,30096,10,,@tenpointturns
Battle Report,UCPmVARyk-_ib2tpEJiFIEaw,1510,236152,145,US,@battlereport
Age of Sigmar List Lab,UCdrDrJ0SbKoKU9QHTSx4_Xg,1310,33305,12,,@ageofsigmarlistlab1706
Red Bluff Battle Reports,UCA-G1HJy26F9W9W2F3Uj9dQ,865,52274,246,US,@redbluffbattlereports
KILL TEAM MEXICO,UC-lisp3tBKZtH8IAmVLghvg,836,85213,101,MX,@killteammexico
